Song_ID,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Mood
7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,Andrew Belle,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,318909,4,sadness
7keXdrB4mz57u4b8YkCwag,Dreaming with a Broken Heart,John Mayer,0.61,0.349,0,-9.321,1,0.0301,0.554,0.0099,0.201,0.155,136.012,245747,4,sadness
7AOdyU64RafmvJUL4WMotN,Unsteady - Erich Lee Gravity Remix,"X Ambassadors, Erich Lee",0.345,0.574,2,-7.431,1,0.0435,0.0112,1.61e-05,0.343,0.0736,116.679,204587,4,sadness
780W6YW5HFANQLR77Owern,"When She Loved Me - From ""Toy Story 2"" / Soundtrack Version",Sarah McLachlan,0.386,0.175,5,-12.038,1,0.043,0.984,0.0,0.0868,0.235,67.195,183440,4,sadness
3Nc86B5XmDlG1KuEeSLD8x,Ew,Joji,0.48,0.373,10,-9.297,1,0.0278,0.804,0.067,0.12,0.0376,114.078,207710,4,sadness
3CRtbOoAP82y0VbPO5j1ft,Too Sad To Cry,Sasha Alex Sloan,0.515,0.27,10,-9.935,1,0.0357,0.842,0.0,0.114,0.234,120.483,208987,4,sadness
1T7AiFL9ruKKwlONN35Vh0,A Little Too Much,Shawn Mendes,0.451,0.507,11,-6.24,1,0.0316,0.473,0.0,0.108,0.564,165.76,187027,4,sadness
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,sadness
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954,4,sadness
3gdPwk2wyOXNRnTA1KXnEr,Wish You The Best,Lewis Capaldi,0.676,0.461,3,-3.59,1,0.0304,0.555,0.0,0.0951,0.466,107.95,210880,4,sadness
0V9QY6NnXtAMwjltgMP0pl,Face in the Crowd,Freya Ridings,0.445,0.232,1,-9.145,1,0.0294,0.886,3.31e-06,0.128,0.246,72.005,204503,4,sadness
5hnGrTBaEsdukpDF6aZg8a,How Do I Say Goodbye,Dean Lewis,0.4,0.641,8,-6.303,1,0.0674,0.214,0.0,0.0656,0.393,81.552,163603,4,sadness
7qqOrc0Uvpvl5NvoAPRGLE,Better Man,Sekou,0.582,0.231,0,-9.136,1,0.0358,0.933,4.16e-06,0.132,0.191,130.122,192131,4,sadness
3k79jB4aGmMDUQzEwa46Rz,vampire,Olivia Rodrigo,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,219724,4,sadness
5RweZJHqfLlEoz9rvmGFES,Him,Cian Ducrot,0.464,0.665,9,-5.601,0,0.105,0.608,0.0,0.128,0.215,169.739,174752,4,sadness
3J2k478GV4E9GbFzN7ndgv,Fat Funny Friend (sadder),Maddie Zahm,0.547,0.222,0,-8.709,1,0.0458,0.962,9.31e-05,0.101,0.528,106.28,202320,4,sadness
7l97ElWmIdVHWUaOeeU5ZC,that way,Tate McRae,0.453,0.383,0,-11.015,1,0.163,0.728,0.0,0.387,0.333,105.029,175027,4,sadness
1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,229173,4,sadness
7djOJmSvxXtq0Q49iC9qsX,Last Train To London,Mimi Webb,0.554,0.326,9,-7.085,1,0.0299,0.697,0.0,0.0876,0.278,71.267,227925,4,sadness
3DBJE1Zndql25OGUQSv7aD,A Year Ago,James Arthur,0.548,0.474,8,-8.743,1,0.0446,0.587,0.0,0.121,0.261,119.986,170830,4,sadness
5aXfGM7WVcqyAvqnL7k0y3,Remember - Acoustic,Becky Hill,0.62,0.379,3,-8.675,1,0.0412,0.797,0.0,0.195,0.509,118.899,178627,4,sadness
4wvgBJYPefTSk1Aa4vGgMb,Two Weeks Ago,Maisie Peters,0.395,0.331,0,-10.022,1,0.0524,0.911,2.57e-06,0.166,0.261,144.927,179453,4,sadness
2At18rPHOuTEjGEppwGV0A,Peter Pan Was Right,Anson Seabra,0.661,0.517,5,-7.74,1,0.0406,0.223,0.0,0.116,0.241,84.014,192498,4,sadness
7wB9sL81rFRGhRt6msZ9CV,How Could You,Jessie Murph,0.573,0.17,11,-10.576,1,0.0555,0.834,3.08e-06,0.108,0.28,146.749,187813,3,sadness
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3,sadness
306BR5TD0UlriDlzObxvk9,you don't love me anymore,Cat Burns,0.55,0.548,8,-6.826,1,0.032,0.648,1.92e-06,0.249,0.428,82.008,204399,4,sadness
4IhTXiZLKATmwhMZIb1GQN,Lights Are On,Tom Rosenthal,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,193749,4,sadness
7dDrR6vMK1JAwZZ5MIWgme,birthday cake,Dylan Conrique,0.436,0.255,3,-8.623,1,0.0364,0.955,3.28e-05,0.106,0.15,113.265,205280,4,sadness
74eJR4gwG1ZmG4BFkbrOlA,Life Goes On,Ed Sheeran,0.629,0.312,1,-7.609,1,0.0318,0.813,0.0,0.169,0.456,77.044,210260,4,sadness
0rYhl022XHl0RPay00dGdh,The Hardest Part - Acoustic,Olivia Dean,0.512,0.204,5,-8.376,1,0.036,0.942,0.0,0.106,0.296,129.947,175987,3,sadness
24dotUzOINUEH3iTUlhDXX,When I Get There,P!nk,0.562,0.403,1,-5.441,1,0.0361,0.78,0.0,0.094,0.548,82.518,200173,4,sadness
7CiDwKE62N6ey3LyG6s7xc,In My Room,Chance Peña,0.408,0.338,4,-13.626,1,0.0431,0.521,0.000639,0.0732,0.1,133.943,177609,3,sadness
21uFPefbgeR3QLVJWATlrr,Scott Street,Phoebe Bridgers,0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,305001,4,sadness
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",Gracie Abrams,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885,167538,5,sadness
7slfeXbuzr9RYXX6XS6Npi,Before You Go - Piano Version,Lewis Capaldi,0.467,0.359,3,-6.892,1,0.0815,0.843,0.0,0.0913,0.21,173.318,218769,3,sadness
5b6enCVP67LsqqrfTs6rxr,Goodbye,Mimi Webb,0.5,0.373,0,-6.191,1,0.0335,0.602,0.0,0.137,0.158,118.943,184167,4,sadness
7KKamdf8oLVz1eFcNRjvnq,we'll be fine,Luz,0.563,0.382,10,-11.138,1,0.0404,0.748,0.0,0.0714,0.197,120.802,262960,4,sadness
0JIhRhZPF5j5dx0FGqTWxy,I'll Be Waiting,Cian Ducrot,0.509,0.619,1,-4.102,1,0.0391,0.355,0.0,0.0739,0.544,155.955,172547,4,sadness
7F9TZ2RT8rdVyzLFmfagiR,Little Runaway,Benson Boone,0.546,0.442,0,-6.541,1,0.0286,0.24,0.0,0.122,0.323,89.019,195277,4,sadness
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4,sadness
1mBtrVS6hLeqcVecvpAqBJ,Lose It All,Sam Tompkins,0.45,0.33,11,-8.481,1,0.0295,0.901,0.0042,0.108,0.174,86.788,205493,3,sadness
4VtRHZ4tBDHaWltVAytlLY,go,Cat Burns,0.663,0.251,6,-9.87,0,0.0435,0.88,0.0,0.0932,0.528,90.272,215000,4,sadness
7uo2L5FAja3pWIBa3HJVeC,could you love me while i hate myself,Zeph,0.68,0.406,9,-11.313,1,0.0414,0.782,0.00019,0.11,0.551,119.901,60333,4,sadness
2VFetGqLYq0Pc8ZtRYCaeL,In The Kitchen,Reneé Rapp,0.364,0.294,0,-6.578,0,0.0504,0.833,0.0,0.264,0.125,79.477,227749,3,sadness
2qLyo5FeWquE7HBUbcVnEy,emails i can’t send,Sabrina Carpenter,0.515,0.387,7,-10.614,1,0.192,0.757,0.0,0.622,0.408,86.313,104408,3,sadness
7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,227093,3,sadness
10wk4XQdba4QpHgFb28Ktk,drivers license - Spotify Singles,Lewis Capaldi,0.543,0.23,4,-12.532,1,0.0417,0.845,0.0,0.11,0.307,127.357,262544,4,sadness
0rt63HYAAIzUZo5O2D0uA6,Visiting Hours,Ed Sheeran,0.471,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609,215507,4,sadness
3iJVCCW5equhyyZcxrMABz,she's all i wanna be - Acoustic,Tate McRae,0.537,0.17,6,-12.391,1,0.0673,0.869,0.0,0.0976,0.185,137.613,198706,4,sadness
43ZTfozcXRTukqENA3TXqe,we're not kids anymore,Cat Burns,0.816,0.213,6,-12.952,0,0.0529,0.912,4.02e-06,0.0916,0.323,121.916,182958,4,sadness
0l8p1TkaVgcwIUS0xwm6Y5,Two Places at Once,Haley Joelle,0.497,0.278,2,-9.959,1,0.0464,0.792,0.0,0.308,0.237,104.84,199395,5,sadness
5LMMHLhxyicdWm3uEdbNrV,Something to Someone - Piano,Dermot Kennedy,0.416,0.436,0,-5.878,1,0.035,0.554,0.0,0.075,0.179,99.41,183789,3,sadness
